model,F-MAP@5,F-MAP@10,F-MAP@20
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
E-CDE-VAE,0.0,0.0,0.0
