model,rank,lambda,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CDE-VAE,100,1e-05,,0.0001,600,0.3,Adam,"[0.0072, 0.0009]","[0.0073, 0.0008]","[0.0071, 0.0007]","[0.0069, 0.0012]","[0.0064, 0.0005]","[0.0266, 0.0016]","[0.0077, 0.0008]","[0.0072, 0.0006]","[0.0064, 0.0005]","[0.0075, 0.001]","[0.0054, 0.0003]","[0.0065, 0.0009]","[0.0186, 0.0022]","[0.0272, 0.0027]","[0.0326, 0.003]","[0.0081, 0.0014]","[0.0675, 0.0042]"
CDE-VAE,100,1e-05,,0.0005,600,0.3,Adam,"[0.0073, 0.0009]","[0.0071, 0.0008]","[0.0067, 0.0007]","[0.0072, 0.0012]","[0.0051, 0.0004]","[0.019, 0.0015]","[0.007, 0.0007]","[0.0062, 0.0006]","[0.0053, 0.0004]","[0.0082, 0.0011]","[0.0032, 0.0002]","[0.0062, 0.001]","[0.0175, 0.0021]","[0.0238, 0.0025]","[0.027, 0.0027]","[0.0095, 0.0015]","[0.0414, 0.0033]"
CDE-VAE,100,1e-05,,0.001,600,0.3,Adam,"[0.0007, 0.0003]","[0.0009, 0.0002]","[0.0009, 0.0002]","[0.0006, 0.0003]","[0.0011, 0.0002]","[0.0046, 0.0006]","[0.001, 0.0003]","[0.0012, 0.0002]","[0.0012, 0.0002]","[0.0007, 0.0003]","[0.0011, 0.0001]","[0.0006, 0.0002]","[0.0024, 0.0008]","[0.0044, 0.001]","[0.0054, 0.0011]","[0.0007, 0.0004]","[0.012, 0.0016]"
CDE-VAE,100,0.0001,,0.0001,600,0.3,Adam,"[0.0072, 0.0009]","[0.0073, 0.0008]","[0.0071, 0.0007]","[0.0069, 0.0012]","[0.0064, 0.0005]","[0.0267, 0.0016]","[0.0077, 0.0008]","[0.0072, 0.0006]","[0.0065, 0.0005]","[0.0075, 0.001]","[0.0054, 0.0003]","[0.0064, 0.0009]","[0.0185, 0.0022]","[0.0272, 0.0027]","[0.033, 0.003]","[0.0081, 0.0014]","[0.0679, 0.0042]"
CDE-VAE,100,0.0001,,0.0005,600,0.3,Adam,"[0.0074, 0.0009]","[0.0074, 0.0008]","[0.0072, 0.0007]","[0.0073, 0.0012]","[0.0064, 0.0005]","[0.0271, 0.0017]","[0.0076, 0.0007]","[0.0072, 0.0006]","[0.0065, 0.0005]","[0.0075, 0.001]","[0.0055, 0.0003]","[0.0071, 0.001]","[0.0181, 0.0022]","[0.0272, 0.0027]","[0.0328, 0.003]","[0.0081, 0.0014]","[0.0685, 0.0043]"
CDE-VAE,100,0.0001,,0.001,600,0.3,Adam,"[0.0011, 0.0003]","[0.001, 0.0003]","[0.001, 0.0003]","[0.0011, 0.0005]","[0.001, 0.0002]","[0.0048, 0.0007]","[0.001, 0.0003]","[0.001, 0.0002]","[0.0011, 0.0002]","[0.0013, 0.0004]","[0.001, 0.0001]","[0.0012, 0.0004]","[0.0022, 0.0007]","[0.0034, 0.0009]","[0.0054, 0.0012]","[0.0014, 0.0005]","[0.0129, 0.0018]"
CDE-VAE,100,0.001,,0.0001,600,0.3,Adam,"[0.0072, 0.0009]","[0.0073, 0.0008]","[0.0071, 0.0007]","[0.0069, 0.0012]","[0.0064, 0.0005]","[0.0267, 0.0016]","[0.0077, 0.0008]","[0.0072, 0.0006]","[0.0065, 0.0005]","[0.0075, 0.001]","[0.0054, 0.0003]","[0.0065, 0.0009]","[0.0186, 0.0022]","[0.0272, 0.0027]","[0.033, 0.003]","[0.0081, 0.0014]","[0.0678, 0.0042]"
CDE-VAE,100,0.001,,0.0005,600,0.3,Adam,"[0.0074, 0.0009]","[0.0074, 0.0008]","[0.0072, 0.0007]","[0.0072, 0.0012]","[0.0064, 0.0005]","[0.027, 0.0017]","[0.0075, 0.0007]","[0.0074, 0.0006]","[0.0064, 0.0005]","[0.0075, 0.001]","[0.0054, 0.0003]","[0.0069, 0.001]","[0.018, 0.0022]","[0.0282, 0.0028]","[0.0325, 0.003]","[0.0082, 0.0014]","[0.068, 0.0042]"
CDE-VAE,100,0.001,,0.001,600,0.3,Adam,"[0.0074, 0.0009]","[0.0073, 0.0008]","[0.0072, 0.0007]","[0.0072, 0.0012]","[0.0064, 0.0005]","[0.0269, 0.0017]","[0.0074, 0.0007]","[0.007, 0.0006]","[0.0067, 0.0005]","[0.0075, 0.001]","[0.0053, 0.0003]","[0.0068, 0.001]","[0.0173, 0.0021]","[0.0266, 0.0027]","[0.0342, 0.003]","[0.0082, 0.0014]","[0.0675, 0.0042]"
CDE-VAE,100,0.01,,0.0001,600,0.3,Adam,"[0.0072, 0.0009]","[0.0073, 0.0008]","[0.0071, 0.0007]","[0.0069, 0.0012]","[0.0064, 0.0005]","[0.0267, 0.0016]","[0.0077, 0.0008]","[0.0072, 0.0006]","[0.0065, 0.0005]","[0.0075, 0.001]","[0.0054, 0.0003]","[0.0064, 0.0009]","[0.0185, 0.0022]","[0.0272, 0.0027]","[0.033, 0.003]","[0.0081, 0.0014]","[0.0679, 0.0042]"
